Row Labels,Under $50K,$50K to $100K,$100K to $150K,$150K to $200K,$200K to $250K,$250K to $300K,$300K to $350K,$350K to $400K,$400K to $450K,$450K to $500K,Over $500K,Total
42003010300,0,1,0,0,0,0,1,0,0,0,0,2
42003020300,0,0,0,0,0,0,0,1,0,0,0,1
42003030500,1,1,1,2,1,1,0,0,0,0,0,7
42003040200,1,3,0,2,1,1,0,0,0,0,0,8
42003040500,0,1,0,0,0,1,0,0,0,0,0,2
42003040600,0,1,0,1,0,2,0,0,1,0,0,5
42003040900,1,3,4,3,8,4,1,0,0,0,0,24
42003050100,7,3,2,0,0,0,0,0,0,0,0,12
42003050600,4,13,2,2,0,1,0,0,0,0,1,23
42003050900,1,1,1,1,0,0,0,0,0,0,0,4
42003051000,0,0,0,0,1,0,0,0,0,0,0,1
42003060300,0,2,3,7,3,4,0,4,5,2,13,43
42003060500,0,1,2,1,0,1,0,2,0,0,0,7
42003070300,0,0,0,0,1,0,0,1,3,0,10,15
42003070500,0,0,0,2,2,2,0,2,0,1,1,10
42003070600,0,0,0,0,0,0,0,0,0,0,4,4
42003070800,0,0,0,1,0,0,1,1,0,0,10,13
42003070900,0,0,0,0,0,1,2,4,2,2,11,22
42003080200,0,0,1,4,4,1,1,0,0,0,0,11
42003080400,0,0,0,0,3,1,3,1,1,0,0,9
42003080600,0,0,0,1,3,0,0,2,0,1,5,12
42003080700,1,0,0,0,0,0,0,0,1,0,1,3
42003080900,0,1,1,2,2,1,1,1,0,0,1,10
42003090100,0,2,3,6,5,4,3,3,1,2,2,31
42003090200,1,1,1,5,4,4,1,2,2,2,4,27
42003090300,0,3,2,6,1,2,1,0,0,0,1,16
42003100500,0,2,2,1,2,2,3,0,0,0,0,12
42003101100,1,2,9,3,2,7,4,2,1,4,5,40
42003101400,4,3,3,5,7,3,2,1,0,0,0,28
42003101600,0,3,0,0,0,2,0,0,0,0,0,5
42003101700,6,6,4,2,2,1,0,1,1,0,0,23
42003101800,1,3,3,5,5,8,4,2,1,0,1,33
42003110200,0,0,0,1,3,1,0,2,1,1,12,21
42003110600,0,0,0,6,2,3,1,3,1,2,9,27
42003111300,0,0,1,0,2,2,3,1,2,3,6,20
42003111400,1,1,0,1,1,0,0,1,0,1,0,6
42003111500,1,1,2,3,0,0,0,0,0,0,1,8
42003120300,6,3,0,0,0,0,0,0,0,0,0,9
42003120400,4,1,0,0,0,0,0,0,0,0,0,5
42003120700,6,2,0,0,0,0,0,0,0,0,0,8
42003120800,0,2,2,1,0,0,0,0,0,0,0,5
42003130100,12,0,0,0,0,0,0,0,0,0,0,12
42003130200,7,0,1,1,0,0,0,0,0,0,0,9
42003130300,2,1,0,0,2,0,0,0,0,0,0,5
42003130400,6,0,0,0,0,0,0,0,0,0,0,6
42003130600,10,3,0,1,0,0,0,0,0,0,0,14
42003140100,0,0,0,0,0,0,1,1,2,2,11,17
42003140200,0,0,0,0,0,0,2,2,1,1,12,18
42003140300,0,0,0,0,0,1,0,1,1,0,8,11
42003140400,0,0,0,0,1,2,4,0,2,0,15,24
42003140500,1,0,0,0,0,2,0,1,1,0,0,5
42003140600,1,1,1,1,1,0,3,4,1,2,9,24
42003140800,0,0,0,0,2,4,0,2,4,1,11,24
42003141000,0,0,1,1,0,0,1,0,2,2,1,8
42003141100,1,0,1,6,5,2,1,0,3,1,0,20
42003141300,0,0,0,1,4,2,3,1,2,2,5,20
42003141400,2,2,1,1,2,10,7,4,3,1,15,48
42003151600,1,3,4,6,6,2,1,0,0,0,0,23
42003151700,6,3,10,13,15,14,3,3,0,0,0,67
